math score,reading score,writing score,math_score_scaled,reading_score_scaled,writing_score_scaled,gender_female,gender_male,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none,parental_education_level,avg_reading_writing,avg_reading_writing_scaled,prep_education_interaction,math score_outlier,reading score_outlier,writing score_outlier
72,72,74,0.72,0.6626506024096386,0.7111111111111111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4,73.0,0.6878612716763005,0,False,False,False
69,90,88,0.6900000000000001,0.8795180722891568,0.8666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,89.0,0.8728323699421966,2,False,False,False
90,95,93,0.9,0.9397590361445783,0.9222222222222223,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5,94.0,0.9306358381502889,0,False,False,False
47,57,44,0.47000000000000003,0.4819277108433735,0.3777777777777778,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,50.5,0.4277456647398844,0,False,False,False
76,78,75,0.76,0.7349397590361446,0.7222222222222222,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2,76.5,0.7283236994219653,0,False,False,False
71,83,78,0.71,0.7951807228915663,0.7555555555555555,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,80.5,0.7745664739884393,0,False,False,False
88,95,92,0.88,0.9397590361445783,0.9111111111111112,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,93.5,0.9248554913294796,2,False,False,False
40,43,39,0.4,0.3132530120481928,0.32222222222222224,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,41.0,0.3179190751445087,0,False,False,False
64,64,67,0.64,0.5662650602409639,0.6333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,65.5,0.6011560693641619,1,False,False,False
38,60,50,0.38,0.5180722891566265,0.4444444444444445,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,55.0,0.47976878612716767,0,False,False,False
58,54,52,0.58,0.4457831325301205,0.46666666666666673,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3,53.0,0.4566473988439306,0,False,False,False
40,52,43,0.4,0.42168674698795183,0.3666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3,47.5,0.3930635838150289,0,False,False,False
